"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"70000011000","70200","Alice Springs (T)","7","Northern Territory",0.279669
"70000012000","70200","Alice Springs (T)","7","Northern Territory",0.155164
"70000013000","70200","Alice Springs (T)","7","Northern Territory",0.0674075
"70000014000","70200","Alice Springs (T)","7","Northern Territory",0.153269
"70000020000","70200","Alice Springs (T)","7","Northern Territory",5.70186
"70000040000","70200","Alice Springs (T)","7","Northern Territory",12.0617
"70000050000","70200","Alice Springs (T)","7","Northern Territory",8.78269
"70000060000","70200","Alice Springs (T)","7","Northern Territory",0.27904
"70000071000","70200","Alice Springs (T)","7","Northern Territory",2.70864
"70000072000","70200","Alice Springs (T)","7","Northern Territory",0.0867737
"70000081000","70200","Alice Springs (T)","7","Northern Territory",0.25551
"70000082000","70200","Alice Springs (T)","7","Northern Territory",0.0762549
"70000083000","70200","Alice Springs (T)","7","Northern Territory",0.0175298
"70000090000","70200","Alice Springs (T)","7","Northern Territory",0.0392645
"70000100000","70200","Alice Springs (T)","7","Northern Territory",0.288483
"70000110000","70200","Alice Springs (T)","7","Northern Territory",0.0326506
"70000120000","70200","Alice Springs (T)","7","Northern Territory",0.0523674
"70000140000","70200","Alice Springs (T)","7","Northern Territory",0.192412
"70000151000","70200","Alice Springs (T)","7","Northern Territory",0.414065
"70000152000","70200","Alice Springs (T)","7","Northern Territory",0.249324
"70000153000","70200","Alice Springs (T)","7","Northern Territory",0.220105
"70000160000","70200","Alice Springs (T)","7","Northern Territory",0.0463959
"70000170000","70200","Alice Springs (T)","7","Northern Territory",19.7862
"70000180000","70200","Alice Springs (T)","7","Northern Territory",0.0845618
"70000190000","70200","Alice Springs (T)","7","Northern Territory",0.0447063
"70000200000","70200","Alice Springs (T)","7","Northern Territory",0.0729057
"70000211000","70200","Alice Springs (T)","7","Northern Territory",0.140882
"70000212000","70200","Alice Springs (T)","7","Northern Territory",0.15133
"70000213000","70200","Alice Springs (T)","7","Northern Territory",0.0731593
"70000214000","70200","Alice Springs (T)","7","Northern Territory",0.130505
"70000215000","70200","Alice Springs (T)","7","Northern Territory",0.136621
"70000220000","70200","Alice Springs (T)","7","Northern Territory",0.0338973
"70000230000","70200","Alice Springs (T)","7","Northern Territory",0.0504308
"70000240000","70200","Alice Springs (T)","7","Northern Territory",0.0626664
"70000250000","70200","Alice Springs (T)","7","Northern Territory",0.0731557
"70000260000","70200","Alice Springs (T)","7","Northern Territory",0.0604679
"70000270000","70200","Alice Springs (T)","7","Northern Territory",0.0672705
"70000280000","70200","Alice Springs (T)","7","Northern Territory",0.0539108
"70000290000","70200","Alice Springs (T)","7","Northern Territory",0.0541212
"70000300000","70200","Alice Springs (T)","7","Northern Territory",0.0568277
"70000310000","70200","Alice Springs (T)","7","Northern Territory",0.0618924
"70000320000","70200","Alice Springs (T)","7","Northern Territory",0.0483979
"70000330000","70200","Alice Springs (T)","7","Northern Territory",0.069186
"70000340000","70200","Alice Springs (T)","7","Northern Territory",0.136235
"70000350000","70200","Alice Springs (T)","7","Northern Territory",0.0457732
"70000360000","70200","Alice Springs (T)","7","Northern Territory",0.0463248
"70000370000","70200","Alice Springs (T)","7","Northern Territory",0.0387796
"70000380000","70200","Alice Springs (T)","7","Northern Territory",0.0393466
"70000390000","70200","Alice Springs (T)","7","Northern Territory",0.0398057
"70000400000","70200","Alice Springs (T)","7","Northern Territory",0.0433441
"70000410000","70200","Alice Springs (T)","7","Northern Territory",0.0499617
"70000420000","70200","Alice Springs (T)","7","Northern Territory",0.0577334
"70000430000","70200","Alice Springs (T)","7","Northern Territory",0.048815
"70000440000","70200","Alice Springs (T)","7","Northern Territory",0.0507055
"70000451000","70200","Alice Springs (T)","7","Northern Territory",0.207455
"70000452000","70200","Alice Springs (T)","7","Northern Territory",0.0737146
"70000460000","70200","Alice Springs (T)","7","Northern Territory",0.0707407
"70000470000","70200","Alice Springs (T)","7","Northern Territory",0.118491
"70000480000","70200","Alice Springs (T)","7","Northern Territory",0.038384
"70000490000","70200","Alice Springs (T)","7","Northern Territory",0.017633
"70000500000","70200","Alice Springs (T)","7","Northern Territory",0.0233667
"70000510000","70200","Alice Springs (T)","7","Northern Territory",0.0301017
"70000520000","70200","Alice Springs (T)","7","Northern Territory",0.135796
"70000530000","70200","Alice Springs (T)","7","Northern Territory",0.0334627
"70000540000","70200","Alice Springs (T)","7","Northern Territory",0.0341755
"70000550000","70200","Alice Springs (T)","7","Northern Territory",0.0378184
"70000560000","70200","Alice Springs (T)","7","Northern Territory",0.0395361
"70000570000","70200","Alice Springs (T)","7","Northern Territory",0.0466313
"70000581000","70200","Alice Springs (T)","7","Northern Territory",1.87491
"70000582000","70200","Alice Springs (T)","7","Northern Territory",0.110162
"70000590000","70200","Alice Springs (T)","7","Northern Territory",1.89065
"70000601000","70200","Alice Springs (T)","7","Northern Territory",7.13316
"70000602000","70200","Alice Springs (T)","7","Northern Territory",5.52104
"70000603000","70200","Alice Springs (T)","7","Northern Territory",2.78419
"70000604000","70200","Alice Springs (T)","7","Northern Territory",9.74094
"70000605000","70200","Alice Springs (T)","7","Northern Territory",0.478315
"70000606000","70200","Alice Springs (T)","7","Northern Territory",0.909107
"70000607000","70200","Alice Springs (T)","7","Northern Territory",0.0300625
"70000608000","70200","Alice Springs (T)","7","Northern Territory",0.346043
"70000609000","70200","Alice Springs (T)","7","Northern Territory",0.0555141
"70000611000","70200","Alice Springs (T)","7","Northern Territory",0.728259
"70000612000","70200","Alice Springs (T)","7","Northern Territory",0.194821
"70000613000","70200","Alice Springs (T)","7","Northern Territory",0.173621
"70000621000","70200","Alice Springs (T)","7","Northern Territory",0.768943
"70000622000","70200","Alice Springs (T)","7","Northern Territory",0.115444
"70000630000","70200","Alice Springs (T)","7","Northern Territory",35.6069
"70000640000","70200","Alice Springs (T)","7","Northern Territory",47.1797
"70000650000","70200","Alice Springs (T)","7","Northern Territory",1.51978
"70000660000","70200","Alice Springs (T)","7","Northern Territory",1.85093
"70000670000","70200","Alice Springs (T)","7","Northern Territory",0.227619
"70000680000","70200","Alice Springs (T)","7","Northern Territory",0.54486
