"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"40000010000","40070","Adelaide (C)","4","South Australia",0.388038
"40000021000","40070","Adelaide (C)","4","South Australia",0.00963098
"40000022000","40070","Adelaide (C)","4","South Australia",0.00948435
"40000023000","40070","Adelaide (C)","4","South Australia",0.00987451
"40000024000","40070","Adelaide (C)","4","South Australia",0.00552967
"40000030000","40070","Adelaide (C)","4","South Australia",0.011174
"40000040000","40070","Adelaide (C)","4","South Australia",0.0240441
"40000051000","40070","Adelaide (C)","4","South Australia",0.0238874
"40000052000","40070","Adelaide (C)","4","South Australia",0.0043748
"40000053000","40070","Adelaide (C)","4","South Australia",0.00380722
"40000060000","40070","Adelaide (C)","4","South Australia",0.0157984
"40000071000","40070","Adelaide (C)","4","South Australia",0.00146992
"40000072000","40070","Adelaide (C)","4","South Australia",0.00262532
"40000073000","40070","Adelaide (C)","4","South Australia",0.00200702
"40000074000","40070","Adelaide (C)","4","South Australia",0.00148658
"40000080000","40070","Adelaide (C)","4","South Australia",0.24158
"40000090000","40070","Adelaide (C)","4","South Australia",0.00833809
"40000100000","40070","Adelaide (C)","4","South Australia",0.0218496
"40000110000","40070","Adelaide (C)","4","South Australia",0.0099613
"40000120000","40070","Adelaide (C)","4","South Australia",0.0189728
"40000130000","40070","Adelaide (C)","4","South Australia",0.00916655
"40000141000","40070","Adelaide (C)","4","South Australia",0.0140156
"40000142000","40070","Adelaide (C)","4","South Australia",0.00420986
"40000151000","40070","Adelaide (C)","4","South Australia",0.00494816
"40000152000","40070","Adelaide (C)","4","South Australia",0.00401983
"40000153000","40070","Adelaide (C)","4","South Australia",0.00275634
"40000154000","40070","Adelaide (C)","4","South Australia",0.0097846
"40000155000","40070","Adelaide (C)","4","South Australia",0.007762
"40000161000","40070","Adelaide (C)","4","South Australia",0.00761763
"40000162000","40070","Adelaide (C)","4","South Australia",0.0075096
"40000163000","40070","Adelaide (C)","4","South Australia",0.00595144
"40000164000","40070","Adelaide (C)","4","South Australia",0.00818265
"40000165000","40070","Adelaide (C)","4","South Australia",0.0065293
"40000170000","40070","Adelaide (C)","4","South Australia",0.0109318
"40000190000","40070","Adelaide (C)","4","South Australia",0.0127463
"40000200000","40070","Adelaide (C)","4","South Australia",0.0094636
"40000210000","40070","Adelaide (C)","4","South Australia",0.00919348
"40000220000","40070","Adelaide (C)","4","South Australia",0.00756686
"40000230000","40070","Adelaide (C)","4","South Australia",0.00820199
"40000240000","40070","Adelaide (C)","4","South Australia",0.00475281
"40000251000","40070","Adelaide (C)","4","South Australia",0.0121167
"40000252000","40070","Adelaide (C)","4","South Australia",0.00718484
"40000253000","40070","Adelaide (C)","4","South Australia",0.00360749
"40000261000","40070","Adelaide (C)","4","South Australia",0.00310941
"40000262000","40070","Adelaide (C)","4","South Australia",0.00270784
"40000270000","40070","Adelaide (C)","4","South Australia",0.0428609
"40000280000","40070","Adelaide (C)","4","South Australia",0.0231571
"40000290000","40070","Adelaide (C)","4","South Australia",0.0100632
"40000300000","40070","Adelaide (C)","4","South Australia",0.0160079
"40000311000","40070","Adelaide (C)","4","South Australia",0.00507667
"40000312000","40070","Adelaide (C)","4","South Australia",0.00526429
"40000320000","40070","Adelaide (C)","4","South Australia",0.00699256
"40000330000","40070","Adelaide (C)","4","South Australia",0.0381841
"40000340000","40070","Adelaide (C)","4","South Australia",0.0348039
"40000350000","40070","Adelaide (C)","4","South Australia",0.0150228
"40000360000","40070","Adelaide (C)","4","South Australia",0.017364
"40000370000","40070","Adelaide (C)","4","South Australia",0.0135973
"40000380000","40070","Adelaide (C)","4","South Australia",0.0185405
"40000390000","40070","Adelaide (C)","4","South Australia",0.0192205
"40000411000","40070","Adelaide (C)","4","South Australia",0.0109518
"40000412000","40070","Adelaide (C)","4","South Australia",0.00965333
"40000420000","40070","Adelaide (C)","4","South Australia",0.350364
"40000450000","40070","Adelaide (C)","4","South Australia",0.0477066
"40000460000","40070","Adelaide (C)","4","South Australia",0.0405856
"40000490000","40070","Adelaide (C)","4","South Australia",0.0295798
"40000500000","40070","Adelaide (C)","4","South Australia",0.0296107
"40000510000","40070","Adelaide (C)","4","South Australia",0.00642591
"40000520000","40070","Adelaide (C)","4","South Australia",0.426428
"40000530000","40070","Adelaide (C)","4","South Australia",0.00215179
"40000550000","40070","Adelaide (C)","4","South Australia",0.260189
"40000560000","40070","Adelaide (C)","4","South Australia",0.33979
"40000570000","40070","Adelaide (C)","4","South Australia",0.0078844
"40000591000","40070","Adelaide (C)","4","South Australia",0.00824613
"40000592000","40070","Adelaide (C)","4","South Australia",0.0120297
"40000600000","40070","Adelaide (C)","4","South Australia",0.190214
"40000611000","40070","Adelaide (C)","4","South Australia",0.00921329
"40000612000","40070","Adelaide (C)","4","South Australia",0.00426416
"40000614000","40070","Adelaide (C)","4","South Australia",0.00892622
"40000615000","40070","Adelaide (C)","4","South Australia",0.00997183
"40000620000","40070","Adelaide (C)","4","South Australia",0.0148631
"40000630000","40070","Adelaide (C)","4","South Australia",0.00756355
"40000640000","40070","Adelaide (C)","4","South Australia",0.0128241
