"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"50000010000","50080","Albany (C)","5","Western Australia",0.0357034
"50000020000","50080","Albany (C)","5","Western Australia",0.0425061
"50000030000","50080","Albany (C)","5","Western Australia",0.0816216
"50000040000","50080","Albany (C)","5","Western Australia",0.0569807
"50000060000","50080","Albany (C)","5","Western Australia",0.0153967
"50000070000","50080","Albany (C)","5","Western Australia",0.0712639
"50000080000","50080","Albany (C)","5","Western Australia",0.0445874
"50000090000","50080","Albany (C)","5","Western Australia",0.0545306
"50000100000","50080","Albany (C)","5","Western Australia",0.037963
"50000110000","50080","Albany (C)","5","Western Australia",0.0493468
"50000120000","50080","Albany (C)","5","Western Australia",0.0323965
"50000130000","50080","Albany (C)","5","Western Australia",0.0314983
"50000140000","50080","Albany (C)","5","Western Australia",0.0258196
"50000150000","50080","Albany (C)","5","Western Australia",0.0248723
"50000160000","50080","Albany (C)","5","Western Australia",0.029886
"50000170000","50080","Albany (C)","5","Western Australia",0.0634386
"50000180000","50080","Albany (C)","5","Western Australia",0.0390841
"50000190000","50080","Albany (C)","5","Western Australia",0.0371329
"50000200000","50080","Albany (C)","5","Western Australia",0.0322376
"50000220000","50080","Albany (C)","5","Western Australia",0.0620804
"50000230000","50080","Albany (C)","5","Western Australia",0.0340313
"50000240000","50080","Albany (C)","5","Western Australia",0.0369808
"50000250000","50080","Albany (C)","5","Western Australia",0.0474783
"50000260000","50080","Albany (C)","5","Western Australia",0.0494529
"50000270000","50080","Albany (C)","5","Western Australia",0.148587
"50000280000","50080","Albany (C)","5","Western Australia",0.244139
"50000290000","50080","Albany (C)","5","Western Australia",0.0138024
"50000300000","50080","Albany (C)","5","Western Australia",4.02624
"50000310000","50080","Albany (C)","5","Western Australia",0.0249498
"50000320000","50080","Albany (C)","5","Western Australia",0.00685451
"50000330000","50080","Albany (C)","5","Western Australia",0.0486188
"50000340000","50080","Albany (C)","5","Western Australia",0.273654
"50000350000","50080","Albany (C)","5","Western Australia",0.0596505
"50000360000","50080","Albany (C)","5","Western Australia",0.0261984
"50000370000","50080","Albany (C)","5","Western Australia",0.0455594
"50000380000","50080","Albany (C)","5","Western Australia",0.0888333
"50000390000","50080","Albany (C)","5","Western Australia",0.117583
"50000400000","50080","Albany (C)","5","Western Australia",0.0235723
"50000410000","50080","Albany (C)","5","Western Australia",0.0396712
"50000420000","50080","Albany (C)","5","Western Australia",0.078275
"50000430000","50080","Albany (C)","5","Western Australia",0.0346145
"50000440000","50080","Albany (C)","5","Western Australia",0.0685045
"50000451000","50080","Albany (C)","5","Western Australia",0.0316933
"50000452000","50080","Albany (C)","5","Western Australia",0.00519592
"50000453000","50080","Albany (C)","5","Western Australia",0.0392621
