date,LGA_code_2011,Median total family income ($/weekly),Total selected
2001,10050,905,905
2001,10110,883,883
2001,10150,1127,1127
2001,10200,793,793
2001,10250,731,731
2001,10300,761,761
2001,10350,928,928
2001,10470,951,951
2001,10550,684,684
2001,10600,607,607
2001,10650,751,751
2001,10750,1008,1008
2001,10800,732,732
2001,10850,859,859
2001,10900,1089,1089
2001,10950,706,706
2001,11000,747,747
2001,11050,739,739
2001,11100,974,974
2001,11150,805,805
2001,11200,705,705
2001,11250,646,646
2001,11300,1080,1080
2001,11350,644,644
2001,11400,819,819
2001,11450,1225,1225
2001,11500,986,986
2001,11520,1424,1424
2001,11550,838,838
2001,11600,842,842
2001,11700,598,598
2001,11720,764,764
2001,11730,626,626
2001,11750,960,960
2001,11800,679,679
2001,11860,860,860
2001,12000,763,763
2001,12050,828,828
2001,12150,664,664
2001,12200,733,733
2001,12300,767,767
2001,12350,721,721
2001,12500,832,832
2001,12600,883,883
2001,12700,772,772
2001,12750,610,610
2001,12850,811,811
2001,12900,728,728
2001,12950,676,676
2001,13010,648,648
2001,13050,691,691
2001,13100,936,936
2001,13310,850,850
2001,13320,599,599
2001,13340,780,780
2001,13380,649,649
2001,13450,912,912
2001,13500,760,760
2001,13550,691,691
2001,13650,712,712
2001,13660,634,634
2001,13700,712,712
2001,13800,1080,1080
2001,13850,743,743
2001,13950,982,982
2001,14000,1485,1485
2001,14100,1775,1775
2001,14150,1069,1069
2001,14200,668,668
2001,14250,813,813
2001,14300,791,791
2001,14350,592,592
2001,14400,990,990
2001,14450,1192,1192
2001,14500,1802,1802
2001,14550,586,586
2001,14600,735,735
2001,14650,849,849
2001,14700,1740,1740
2001,14750,902,902
2001,14800,1704,1704
2001,14850,719,719
2001,14870,822,822
2001,14900,1013,1013
2001,14920,681,681
2001,14950,764,764
2001,15050,883,883
2001,15150,1655,1655
2001,15200,1140,1140
2001,15270,750,750
2001,15300,871,871
2001,15350,1936,1936
2001,15500,776,776
2001,15550,891,891
2001,15650,967,967
2001,15700,552,552
2001,15750,809,809
2001,15800,811,811
2001,15850,745,745
2001,15900,841,841
2001,15950,1877,1877
2001,16100,855,855
2001,16150,925,925
2001,16180,1189,1189
2001,16200,749,749
2001,16250,1034,1034
2001,16350,1094,1094
2001,16370,1450,1450
2001,16380,667,667
2001,16400,778,778
2001,16470,1102,1102
2001,16550,1252,1252
2001,16610,648,648
2001,16650,996,996
2001,16700,1241,1241
2001,16900,893,893
2001,16950,662,662
2001,17000,1086,1086
2001,17050,937,937
2001,17100,1145,1145
2001,17150,1355,1355
2001,17200,1399,1399
2001,17310,789,789
2001,17350,707,707
2001,17400,601,601
2001,17420,1574,1574
2001,17450,763,763
2001,17500,798,798
2001,17550,643,643
2001,17620,807,807
2001,17640,775,775
2001,17650,766,766
2001,17700,751,751
2001,17750,920,920
2001,17800,723,723
2001,17850,753,753
2001,17900,619,619
2001,17950,804,804
2001,18000,1364,1364
2001,18020,643,643
2001,18050,1473,1473
2001,18100,666,666
2001,18150,630,630
2001,18200,755,755
2001,18250,1653,1653
2001,18350,922,922
2001,18400,1083,1083
2001,18450,932,932
2001,18500,1908,1908
2001,18550,763,763
2001,18710,1050,1050
2001,18750,739,739
2001,19399,745,745
2001,20110,734,734
2001,20260,754,754
2001,20570,823,823
2001,20660,1113,1113
2001,20740,640,640
2001,20830,823,823
2001,20910,1482,1482
2001,21010,763,763
2001,21110,1593,1593
2001,21180,874,874
2001,21270,698,698
2001,21370,811,811
2001,21450,966,966
2001,21610,995,995
2001,21670,620,620
2001,21750,769,769
2001,21830,779,779
2001,21890,865,865
2001,22110,659,659
2001,22170,924,924
2001,22250,739,739
2001,22310,1170,1170
2001,22410,801,801
2001,22490,867,867
2001,22620,787,787
2001,22670,773,773
2001,22750,860,860
2001,22830,855,855
2001,22910,685,685
2001,22980,742,742
2001,23110,970,970
2001,23190,797,797
2001,23270,927,927
2001,23350,870,870
2001,23430,1023,1023
2001,23670,1107,1107
2001,23810,790,790
2001,23940,646,646
2001,24130,1039,1039
2001,24210,1217,1217
2001,24250,714,714
2001,24330,842,842
2001,24410,1081,1081
2001,24600,1265,1265
2001,24650,1014,1014
2001,24780,780,780
2001,24850,891,891
2001,24900,773,773
2001,24970,1085,1085
2001,25060,1088,1088
2001,25150,935,935
2001,25250,869,869
2001,25340,881,881
2001,25430,693,693
2001,25490,802,802
2001,25620,768,768
2001,25710,1349,1349
2001,25810,731,731
2001,25900,1395,1395
2001,25990,657,657
2001,26080,894,894
2001,26170,769,769
2001,26260,771,771
2001,26350,1604,1604
2001,26430,699,699
2001,26490,927,927
2001,26610,759,759
2001,26670,790,790
2001,26700,800,800
2001,26730,818,818
2001,26810,778,778
2001,26890,734,734
2001,26980,1117,1117
2001,27070,927,927
2001,27170,890,890
2001,27260,1041,1041
2001,27350,1245,1245
2001,27450,1002,1002
2001,27630,749,749
2001,29399,933,933
2001,30250,446,446
2001,30300,878,878
2001,30370,942,942
2001,30410,826,826
2001,30450,1054,1054
2001,30760,823,823
2001,30900,1045,1045
2001,31000,1064,1064
2001,31750,881,881
2001,31820,648,648
2001,31900,840,840
2001,31950,737,737
2001,32070,919,919
2001,32250,832,832
2001,32260,751,751
2001,32270,1176,1176
2001,32310,836,836
2001,32330,488,488
2001,32450,1063,1063
2001,32500,587,587
2001,32600,692,692
2001,32750,933,933
2001,32770,628,628
2001,33100,746,746
2001,33200,873,873
2001,33220,599,599
2001,33360,943,943
2001,33430,828,828
2001,33610,827,827
2001,33620,633,633
2001,33800,707,707
2001,33830,521,521
2001,33960,862,862
2001,33980,1399,1399
2001,34420,470,470
2001,34570,900,900
2001,34580,750,750
2001,34590,862,862
2001,34710,945,945
2001,34770,837,837
2001,34800,957,957
2001,34830,487,487
2001,34860,860,860
2001,35010,878,878
2001,35250,492,492
2001,35300,1274,1274
2001,35600,807,807
2001,35670,445,445
2001,35760,697,697
2001,35780,526,526
2001,35790,613,613
2001,35800,658,658
2001,36070,767,767
2001,36150,892,892
2001,36250,964,964
