date,lga_code_2011,Index of Education and Occupation Maximum score for SA1s in area,Total selected
2011,10050,1197,1197
2011,10110,1123,1123
2011,10150,1129,1129
2011,10200,1179,1179
2011,10250,1128,1128
2011,10300,1044,1044
2011,10350,1135,1135
2011,10470,1175,1175
2011,10550,1109,1109
2011,10600,1043,1043
2011,10650,1078,1078
2011,10750,1241,1241
2011,10800,1086,1086
2011,10850,1144,1144
2011,10900,1177,1177
2011,10950,1104,1104
2011,11000,1030,1030
2011,11050,1094,1094
2011,11100,1105,1105
2011,11150,1032,1032
2011,11200,981,981
2011,11250,1047,1047
2011,11300,1098,1098
2011,11350,1103,1103
2011,11400,1183,1183
2011,11450,1276,1276
2011,11500,1197,1197
2011,11520,1148,1148
2011,11550,1113,1113
2011,11600,1062,1062
2011,11700,1018,1018
2011,11720,1160,1160
2011,11730,1115,1115
2011,11750,1104,1104
2011,11800,1121,1121
2011,11860,1075,1075
2011,12000,1108,1108
2011,12050,1169,1169
2011,12150,1123,1123
2011,12200,1109,1109
2011,12300,1060,1060
2011,12350,1101,1101
2011,12500,1128,1128
2011,12600,1182,1182
2011,12700,1134,1134
2011,12750,1105,1105
2011,12850,1202,1202
2011,12900,1105,1105
2011,12950,1081,1081
2011,13010,1098,1098
2011,13050,1070,1070
2011,13100,1190,1190
2011,13310,1161,1161
2011,13320,1099,1099
2011,13340,1128,1128
2011,13380,1109,1109
2011,13450,1147,1147
2011,13500,1079,1079
2011,13550,1123,1123
2011,13650,1081,1081
2011,13660,1077,1077
2011,13700,1060,1060
2011,13800,1218,1218
2011,13850,1062,1062
2011,13950,1290,1290
2011,14000,1224,1224
2011,14100,1160,1160
2011,14150,1145,1145
2011,14200,1109,1109
2011,14250,1143,1143
2011,14300,1163,1163
2011,14350,1097,1097
2011,14400,1146,1146
2011,14450,1160,1160
2011,14500,1215,1215
2011,14550,1041,1041
2011,14600,1096,1096
2011,14650,1211,1211
2011,14700,1216,1216
2011,14750,1115,1115
2011,14800,1141,1141
2011,14850,1165,1165
2011,14870,1188,1188
2011,14900,1220,1220
2011,14920,1077,1077
2011,14950,1138,1138
2011,15050,1213,1213
2011,15150,1180,1180
2011,15200,1090,1090
2011,15270,1149,1149
2011,15300,1139,1139
2011,15350,1181,1181
2011,15500,1108,1108
2011,15550,1074,1074
2011,15650,1152,1152
2011,15700,1051,1051
2011,15750,1116,1116
2011,15800,1101,1101
2011,15850,1099,1099
2011,15900,1208,1208
2011,15950,1162,1162
2011,16100,1091,1091
2011,16150,1169,1169
2011,16180,1260,1260
2011,16200,1132,1132
2011,16250,1213,1213
2011,16350,1248,1248
2011,16370,1181,1181
2011,16380,1139,1139
2011,16400,1205,1205
2011,16470,1260,1260
2011,16550,1213,1213
2011,16610,1099,1099
2011,16650,1134,1134
2011,16700,1159,1159
2011,16900,1205,1205
2011,16950,1153,1153
2011,17000,1202,1202
2011,17050,1110,1110
2011,17100,1172,1172
2011,17150,1223,1223
2011,17200,1195,1195
2011,17310,1164,1164
2011,17350,1122,1122
2011,17400,1069,1069
2011,17420,1264,1264
2011,17450,1088,1088
2011,17500,1118,1118
2011,17550,1152,1152
2011,17620,1162,1162
2011,17640,1116,1116
2011,17650,1111,1111
2011,17700,1030,1030
2011,17750,1217,1217
2011,17800,1061,1061
2011,17850,1082,1082
2011,17900,1079,1079
2011,17950,1092,1092
2011,18000,1233,1233
2011,18020,1063,1063
2011,18050,1180,1180
2011,18100,1083,1083
2011,18150,1115,1115
2011,18200,1108,1108
2011,18250,1190,1190
2011,18350,1161,1161
2011,18400,1254,1254
2011,18450,1237,1237
2011,18500,1203,1203
2011,18550,1200,1200
2011,18710,1249,1249
2011,18750,1105,1105
2011,19399,1082,1082
2011,20110,1078,1078
2011,20260,1113,1113
2011,20570,1149,1149
2011,20660,1191,1191
2011,20740,1122,1122
2011,20830,1152,1152
2011,20910,1164,1164
2011,21010,1101,1101
2011,21110,1188,1188
2011,21180,1165,1165
2011,21270,1059,1059
2011,21370,1129,1129
2011,21450,1191,1191
2011,21610,1210,1210
2011,21670,1075,1075
2011,21750,1113,1113
2011,21830,1108,1108
2011,21890,1195,1195
2011,22110,1085,1085
2011,22170,1210,1210
2011,22250,1100,1100
2011,22310,1155,1155
2011,22410,1099,1099
2011,22490,1171,1171
2011,22620,1132,1132
2011,22670,1160,1160
2011,22750,1180,1180
2011,22830,1134,1134
2011,22910,1062,1062
2011,22980,1122,1122
2011,23110,1133,1133
2011,23190,1117,1117
2011,23270,1206,1206
2011,23350,1123,1123
2011,23430,1231,1231
2011,23670,1240,1240
2011,23810,1145,1145
2011,23940,1086,1086
2011,24130,1158,1158
2011,24210,1215,1215
2011,24250,1095,1095
2011,24330,1107,1107
2011,24410,1243,1243
2011,24600,1099,1099
2011,24650,1174,1174
2011,24780,1129,1129
2011,24850,1152,1152
2011,24900,1133,1133
2011,24970,1166,1166
2011,25060,1136,1136
2011,25150,1152,1152
2011,25250,1146,1146
2011,25340,1200,1200
2011,25430,1119,1119
2011,25490,1113,1113
2011,25620,1119,1119
2011,25710,1208,1208
2011,25810,1084,1084
2011,25900,1107,1107
2011,25990,1043,1043
2011,26080,1052,1052
2011,26170,1104,1104
2011,26260,1114,1114
2011,26350,1186,1186
2011,26430,1076,1076
2011,26490,1181,1181
2011,26610,1125,1125
2011,26670,1089,1089
2011,26700,1153,1153
2011,26730,1119,1119
2011,26810,1126,1126
2011,26890,1093,1093
2011,26980,1155,1155
2011,27070,1193,1193
2011,27170,1174,1174
2011,27260,1189,1189
2011,27350,1078,1078
2011,27450,1220,1220
2011,27630,1087,1087
2011,29399,1026,1026
2011,30250,521,521
2011,30300,1076,1076
2011,30370,1140,1140
2011,30410,1120,1120
2011,30450,989,989
2011,30760,1124,1124
2011,30900,943,943
2011,31000,1257,1257
2011,31750,1038,1038
2011,31820,1118,1118
2011,31900,1157,1157
2011,31950,939,939
2011,32070,1234,1234
2011,32250,991,991
2011,32260,1118,1118
2011,32270,1202,1202
2011,32310,1091,1091
2011,32330,536,536
2011,32450,1017,1017
2011,32500,1038,1038
2011,32600,920,920
2011,32750,876,876
2011,32770,939,939
2011,33100,975,975
2011,33200,1088,1088
2011,33220,1148,1148
2011,33360,1206,1206
2011,33430,1253,1253
2011,33610,1183,1183
2011,33620,1074,1074
2011,33800,1085,1085
2011,33830,587,587
2011,33960,1223,1223
2011,33980,1111,1111
2011,34420,576,576
2011,34570,823,823
2011,34580,1118,1118
2011,34590,1235,1235
2011,34710,1124,1124
2011,34770,1200,1200
2011,34800,1072,1072
2011,34830,945,945
2011,34860,1130,1130
2011,35010,1243,1243
2011,35250,583,583
2011,35300,1149,1149
2011,35600,1100,1100
2011,35670,589,589
2011,35760,1091,1091
2011,35780,770,770
2011,35790,527,527
2011,35800,1059,1059
2011,36070,614,614
2011,36150,1036,1036
2011,36250,1245,1245
2011,36300,1025,1025
2011,36360,1190,1190
2011,36510,1158,1158
2011,36580,1088,1088
2011,36630,1123,1123
2011,36660,1120,1120
2011,36710,1182,1182
2011,36810,1102,1102
2011,36910,1179,1179
2011,36950,938,938
2011,36960,689,689
2011,37010,1238,1238
2011,37300,1090,1090
2011,37310,1125,1125
2011,37340,1140,1140
2011,37400,1071,1071
2011,37550,1061,1061
2011,37570,827,827
2011,37600,475,475
2011,40070,1035,1035
2011,40120,1157,1157
2011,40220,1105,1105
2011,40250,843,843
2011,40310,1141,1141
2011,40430,1079,1079
2011,40520,1047,1047
2011,40700,1153,1153
2011,40910,1142,1142
2011,41010,1050,1050
2011,41060,1104,1104
2011,41140,1130,1130
2011,41190,1096,1096
2011,41330,954,954
2011,41560,1103,1103
2011,41750,1056,1056
2011,41830,1048,1048
2011,41960,1027,1027
2011,42030,1163,1163
2011,42110,1052,1052
2011,42250,1112,1112
2011,42600,1087,1087
2011,42750,1076,1076
2011,43080,1025,1025
2011,43220,1121,1121
2011,43360,1071,1071
2011,43650,1163,1163
2011,43710,1130,1130
2011,43790,1093,1093
2011,43920,1093,1093
2011,44000,688,688
2011,44060,1163,1163
2011,44210,1024,1024
2011,44340,1221,1221
2011,44550,1198,1198
2011,44620,1141,1141
2011,44830,1065,1065
2011,45040,1100,1100
2011,45090,1127,1127
2011,45120,1100,1100
2011,45290,1104,1104
2011,45340,1190,1190
2011,45400,1069,1069
2011,45540,989,989
2011,45680,1158,1158
2011,45890,1121,1121
2011,46090,1123,1123
2011,46300,1063,1063
2011,46450,1102,1102
2011,46510,1115,1115
2011,46670,1042,1042
2011,46860,1064,1064
2011,46970,1097,1097
2011,47140,1184,1184
2011,47290,1073,1073
2011,47490,1007,1007
2011,47630,1107,1107
2011,47700,1198,1198
2011,47800,1041,1041
2011,47910,1096,1096
2011,47980,1114,1114
2011,48050,1130,1130
2011,48130,1090,1090
2011,48260,1155,1155
