"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"60000010000","60210","Break O'Day (M)","6","Tasmania",0.0460336
"60000020000","60210","Break O'Day (M)","6","Tasmania",0.0018952
"60000030000","60210","Break O'Day (M)","6","Tasmania",0.0098905
"60000040000","60210","Break O'Day (M)","6","Tasmania",0.00475737
"60000050000","60210","Break O'Day (M)","6","Tasmania",0.00313397
"60000060000","60210","Break O'Day (M)","6","Tasmania",0.000135662
"60000070000","60210","Break O'Day (M)","6","Tasmania",0.0423761
"60000080000","60210","Break O'Day (M)","6","Tasmania",0.010602
"60000090000","60210","Break O'Day (M)","6","Tasmania",0.507303
"60000100000","60210","Break O'Day (M)","6","Tasmania",5.40112
"60000110000","60210","Break O'Day (M)","6","Tasmania",2.58148
"60000120000","60210","Break O'Day (M)","6","Tasmania",0.400304
"60000130000","60210","Break O'Day (M)","6","Tasmania",13.2986
"60000140000","60210","Break O'Day (M)","6","Tasmania",6.67736
"60000150000","60210","Break O'Day (M)","6","Tasmania",0.0785386
"60000160000","60210","Break O'Day (M)","6","Tasmania",0.00449808
"60000170000","60210","Break O'Day (M)","6","Tasmania",0.00378844
"60000180000","60210","Break O'Day (M)","6","Tasmania",0.120276
"60000190000","60210","Break O'Day (M)","6","Tasmania",0.0576674
"60000200000","60210","Break O'Day (M)","6","Tasmania",0.122202
"60000210000","60210","Break O'Day (M)","6","Tasmania",0.0165723
"60000220000","60210","Break O'Day (M)","6","Tasmania",0.00171444
"60000230000","60210","Break O'Day (M)","6","Tasmania",0.00616643
"60000240000","60210","Break O'Day (M)","6","Tasmania",0.00253247
"60000250000","60210","Break O'Day (M)","6","Tasmania",7.5738
"60000260000","60210","Break O'Day (M)","6","Tasmania",0.091786
"60000270000","60210","Break O'Day (M)","6","Tasmania",58.0619
"60000280000","60210","Break O'Day (M)","6","Tasmania",0.0142501
"60000290000","60210","Break O'Day (M)","6","Tasmania",0.966719
"60000300000","60210","Break O'Day (M)","6","Tasmania",0.928165
"60000310000","60210","Break O'Day (M)","6","Tasmania",1.54824
"60000320000","60210","Break O'Day (M)","6","Tasmania",16.7871
"60000330000","60210","Break O'Day (M)","6","Tasmania",0.159663
"60000340000","60210","Break O'Day (M)","6","Tasmania",4.81878
"60000350000","60210","Break O'Day (M)","6","Tasmania",74.2909
"60000360000","60210","Break O'Day (M)","6","Tasmania",24.841
"60000371000","60210","Break O'Day (M)","6","Tasmania",49.1485
"60000372000","60210","Break O'Day (M)","6","Tasmania",0.195547
"60000373000","60210","Break O'Day (M)","6","Tasmania",0.14877
"60000374000","60210","Break O'Day (M)","6","Tasmania",0.181289
"60000375000","60210","Break O'Day (M)","6","Tasmania",0.163499
"60000380000","60210","Break O'Day (M)","6","Tasmania",7.48336
"60000390000","60210","Break O'Day (M)","6","Tasmania",0.205308
"60000400000","60210","Break O'Day (M)","6","Tasmania",2.5856
"60000410000","60210","Break O'Day (M)","6","Tasmania",0.230361
"60000420000","60210","Break O'Day (M)","6","Tasmania",0.211642
"60000430000","60210","Break O'Day (M)","6","Tasmania",0.217373
"60000440000","60210","Break O'Day (M)","6","Tasmania",0.123731
"60000450000","60210","Break O'Day (M)","6","Tasmania",0.183031
"60000460000","60210","Break O'Day (M)","6","Tasmania",0.0760898
"60000470000","60210","Break O'Day (M)","6","Tasmania",0.0425448
"60000480000","60210","Break O'Day (M)","6","Tasmania",0.0749786
"60000490000","60210","Break O'Day (M)","6","Tasmania",0.043831
"60000500000","60210","Break O'Day (M)","6","Tasmania",0.0630962
"60000510000","60210","Break O'Day (M)","6","Tasmania",0.0536611
"60000520000","60210","Break O'Day (M)","6","Tasmania",0.0669698
"60000530000","60210","Break O'Day (M)","6","Tasmania",0.0557232
"60000540000","60210","Break O'Day (M)","6","Tasmania",0.367861
"60000550000","60210","Break O'Day (M)","6","Tasmania",0.250626
"60000560000","60210","Break O'Day (M)","6","Tasmania",0.369814
"60000570000","60210","Break O'Day (M)","6","Tasmania",0.324941
"60000580000","60210","Break O'Day (M)","6","Tasmania",0.143554
"60000590000","60210","Break O'Day (M)","6","Tasmania",0.0432302
"60000600000","60210","Break O'Day (M)","6","Tasmania",0.060059
"60000610000","60210","Break O'Day (M)","6","Tasmania",0.101218
"60000620000","60210","Break O'Day (M)","6","Tasmania",0.0379472
"60000630000","60210","Break O'Day (M)","6","Tasmania",0.0453105
"60000640000","60210","Break O'Day (M)","6","Tasmania",0.0384523
"60000650000","60210","Break O'Day (M)","6","Tasmania",0.0205434
"60000660000","60210","Break O'Day (M)","6","Tasmania",0.227374
"60000670000","60210","Break O'Day (M)","6","Tasmania",0.0777821
"60000680000","60210","Break O'Day (M)","6","Tasmania",0.0614023
"60000690000","60210","Break O'Day (M)","6","Tasmania",0.298867
"60000700000","60210","Break O'Day (M)","6","Tasmania",0.109771
"60000711000","60210","Break O'Day (M)","6","Tasmania",0.0896166
"60000712000","60210","Break O'Day (M)","6","Tasmania",0.184812
"60000720000","60210","Break O'Day (M)","6","Tasmania",0.0585603
"60000730000","60210","Break O'Day (M)","6","Tasmania",0.0398993
"60000740000","60210","Break O'Day (M)","6","Tasmania",0.0912706
